id	datetime	text
39757	2026-02-20T09:42:47+00:00	&#036;AZTEC listed on Bithumb spot
39756	2026-02-20T09:39:00+00:00	뭐야 프라이버시 프로젝트 상장하면 안되는거 아니었어?
39755	2026-02-20T09:32:55+00:00	업비트(Upbit) 공지 아즈텍(AZTEC) 신규 거래지원 안내 (KRW, BTC, USDT 마켓) 2026-02-20 14:00:01
39753	2026-02-20T05:42:24+00:00	업비트(Upbit) 공지 아즈텍(AZTEC) 신규 거래지원 안내 (KRW, BTC, USDT 마켓) 2026-02-20 14:00:01
39752	2026-02-20T05:17:16+00:00	[백악관, 스테이블코인 보상 일부 허용 가닥]
39751	2026-02-20T05:01:46+00:00	진심입니다.
39750	2026-02-20T05:00:13+00:00	아 진짜 존나 일하기싫다~~~ 투자도 하기싫고 존나 아무것도 안하는데 누가 세후 500억만 딱 주면 좋겠다아아아ㅏ아아아아 아무것도 안하는 돌맹이로 살고싶다아아아아아 진짜 아아아아마뭉러거것도 안하고싶다아아아아아아
39749	2026-02-20T00:02:01+00:00	아 진짜 존나 일하기싫다~~~ 투자도 하기싫고 존나 아무것도 안하는데 누가 세후 500억만 딱 주면 좋겠다아아아ㅏ아아아아 아무것도 안하는 돌맹이로 살고싶다아아아아아 진짜 아아아아마뭉러거것도 안하고싶다아아아아아아
39748	2026-02-19T15:21:43+00:00	😳 마이클 세일러가 트윗을 올렸는데 트위터 번역오류가 좀 있네요 이모티콘으로 인한 오역으로 보이며 실제 의미는 &quot;이보다 더 낙관적인적이 없었다&quot; 입니다. 트윗 원문
39747	2026-02-19T15:21:38+00:00	진짜 혼란의 도가니탕이에요. 딱 2년만 진짜 더도말고 덜도말고 2년만 더 합시다
39746	2026-02-19T15:17:15+00:00	[내년 코인 과세 앞두고 혼란...&quot;4차 유예 가능성도&quot;] 가상자산(암호화폐) 과세 시행 시점이 10개월 앞으로 다가왔지만 제도를 떠받칠 행정적·법적 준비는 여전히 제자리걸음이라는 평가가 나온다고 아주경제가 전했다. 통상 주요 세법은 시행 1년 전까지 시행령과 시행규칙 등 하위 법령이 정비되고, 과세 기준에 대한 유권해석도 상당 부분 제시된다. 그러나 지난해 세제개편안에는 가상자산 과세와 관련한 보완 내용이 사실상 담기지 않았다. 김갑래 자본시장연구원 선임연구위원은…
39745	2026-02-19T10:20:33+00:00	[내년 코인 과세 앞두고 혼란...&quot;4차 유예 가능성도&quot;] 가상자산(암호화폐) 과세 시행 시점이 10개월 앞으로 다가왔지만 제도를 떠받칠 행정적·법적 준비는 여전히 제자리걸음이라는 평가가 나온다고 아주경제가 전했다. 통상 주요 세법은 시행 1년 전까지 시행령과 시행규칙 등 하위 법령이 정비되고, 과세 기준에 대한 유권해석도 상당 부분 제시된다. 그러나 지난해 세제개편안에는 가상자산 과세와 관련한 보완 내용이 사실상 담기지 않았다. 김갑래 자본시장연구원 선임연구위원은 “지난해 국회에 제출된 소득세법 개정안에도 가상자산 관련 보완 내용이 거의 없었던 만큼 준비 미비 논란은 불가피하다. 현 상황이 지속될 경우 4차 유예 가능성도 배제하기 어렵다&quot;고 말했다. https://coinness.com/news/1149946 기사보기 : https://www.ajunews.com/view/20260219154601668
39744	2026-02-19T10:20:07+00:00	🎉 Block Street 한국 커뮤니티 오픈 이벤트 Block Street 한국 커뮤니티가 오픈된 기념으로 이벤트를 시작합니다 🎉 📌 이벤트 보상 • 모바일상품권 1만원권 x 200명 추첨 지급 • NFT WL 또는 에어드랍 x 100명 ✅ 이벤트 참여 방법 1️⃣ Block Street 한국 공지방 에 입장하기 2️⃣ Block Street 한국 커뮤니티 에 입장하기 3️⃣ 커뮤니티에서 인사 나누기 4️⃣ 네이버폼 제출하기 🗓 이벤트 기간 2026.02.19(목) - 2026.02.26(목) 23:59 KST ⚠️ 유의사항 • 이벤트 보상은 중복 지급되지 않습니다. • 부정 참여가 확인될 경우 당첨이 취소될 수 있습니다. • 이벤트 일정 및 세부 내용은 사전 안내 없이 변경될 수 있습니다. • 보상 지급을 위해 간단한 개인정보 제출이 요청됩니다. Block Street 한국 커뮤니티의 시작을 함께해 주세요&#33; 많은 참여 부탁드립니다 🧡
39743	2026-02-19T10:00:52+00:00	저도 설날에 고향에 간김에 고향에서 맥미니를 하나 공수해왔습니다. 개인 AI Agent를 좀 더 잘 써보려고 디벨롭하면서 바이브코딩도 더디지만 해보고 있는데요 @supernovajunn 님께서 남겨주신 Agent를 활용해서 서비스를 실제로 판매한걸 보고 상당히 재밌었습니다. 어디서 본게 &quot;이제 AI AGENT의 서비스가 거래되는 시대가 올거다&quot; 라고 들은건 수없이 많지만 진짜로 이게 거래가 되고 수요가 있네요.....? 돈을 지불한다는 것은 가치를 인정받는 것인데 금광앞의 곡괭이 장사꾼처럼 @virtuals_io 가 이번에 1백만불 상당의 현금을 Agent에게 뿌리는 이유를 어렴풋이 조금 느끼게된 사례.... 세상은 넓고 똑똑한 사람은 많으며 돈버는 방법은 무궁무진하다.... 꼬냑님 트윗 좌표 여기다 남겨놓음
